record_id,timestamp,farm,panel_capacity_kw,panel_output_kwh,ambient_temperature_c,sunlight_duration_hours,panel_efficiency_pct,hour,month
SOL0074,2026-02-20 23:58:00,Farm_D,120,97.94,25.7,8.4,9.71626984126984,23,2
SOL0075,2026-01-21 14:35:00,Farm_C,150,93.17,35.0,7.1,8.748356807511737,14,1
SOL0076,2026-03-02 13:58:00,Farm_D,180,131.75,28.0,7.9,9.265119549929675,13,3
SOL0077,2026-03-07 02:26:00,Farm_C,120,66.33,35.2,6.6,8.375,2,3
SOL0078,2026-02-15 13:43:00,Farm_D,180,150.82,26.6,8.3,10.095046854082996,13,2
SOL0079,2026-02-05 03:54:00,Farm_D,180,80.1,36.6,5.2,8.557692307692307,3,2
SOL0080,2026-05-18 09:19:00,Farm_D,120,77.28,43.5,6.7,9.611940298507463,9,5
SOL0081,2026-07-26 13:44:00,Farm_A,100,42.72,24.8,4.8,8.9,13,7
SOL0082,2026-05-29 12:56:00,Farm_B,120,103.77,28.3,8.2,10.545731707317074,12,5
SOL0083,2026-01-17 11:53:00,Farm_B,100,85.56,31.2,5.0,17.112,11,1
SOL0084,2026-07-21 23:25:00,Farm_B,120,71.38,31.0,6.9,8.620772946859903,23,7
SOL0085,2026-03-16 16:49:00,Farm_B,180,89.43,32.1,5.8,8.566091954022989,16,3
SOL0086,2026-06-20 06:04:00,Farm_B,120,73.75,29.5,6.2,9.91263440860215,6,6
SOL0087,2026-05-13 03:24:00,Farm_A,100,96.42,28.9,9.3,10.367741935483869,3,5
SOL0088,2026-06-19 13:11:00,Farm_D,180,91.34,31.7,5.8,8.74904214559387,13,6
SOL0089,2026-05-25 21:25:00,Farm_C,120,59.97,28.2,5.6,8.924107142857144,21,5
SOL0090,2026-02-06 12:01:00,Farm_D,100,48.12,26.6,4.8,10.024999999999999,12,2
SOL0091,2026-03-16 01:18:00,Farm_C,180,97.65,35.0,6.5,8.346153846153847,1,3
SOL0092,2026-02-26 19:35:00,Farm_D,100,43.05,35.1,4.7,9.159574468085106,19,2
SOL0093,2026-03-14 01:06:00,Farm_C,150,111.06,30.2,7.4,10.005405405405405,1,3
SOL0094,2026-01-02 09:16:00,Farm_A,120,65.34,35.1,6.1,8.926229508196721,9,1
SOL0095,2026-06-27 04:00:00,Farm_B,150,56.37,25.0,4.1,9.165853658536586,4,6
SOL0096,2026-07-20 16:32:00,Farm_B,120,105.34,33.1,8.5,10.327450980392157,16,7
SOL0097,2026-06-22 19:56:00,Farm_B,180,148.85,31.8,9.8,8.438208616780043,19,6
SOL0098,2026-01-14 14:38:00,Farm_C,120,56.28,32.2,5.1,9.19607843137255,14,1
SOL0099,2026-05-04 14:47:00,Farm_A,100,99.46,28.8,9.6,10.360416666666666,14,5
SOL0100,2026-02-02 22:17:00,Farm_A,180,92.27,37.9,5.3,9.671907756813416,22,2
SOL0101,2026-05-21 05:04:00,Farm_C,150,72.95,28.7,5.2,9.352564102564102,5,5
SOL0102,2026-02-21 17:55:00,Farm_C,180,161.01,30.2,9.9,9.035353535353535,17,2
SOL0103,2026-05-28 03:22:00,Farm_C,100,74.26,40.6,7.5,9.901333333333334,3,5
SOL0104,2026-06-01 10:39:00,Farm_B,100,35.63,29.8,3.5,10.18,10,6
SOL0105,2026-02-12 12:34:00,Farm_D,150,62.81,29.4,4.2,9.96984126984127,12,2
SOL0106,2026-01-14 09:50:00,Farm_C,150,81.92,31.9,5.9,9.256497175141243,9,1
SOL0107,2026-01-31 12:29:00,Farm_A,150,100.73,34.4,7.2,9.326851851851853,12,1
SOL0108,2026-01-07 05:13:00,Farm_C,150,44.34,44.6,3.6,8.211111111111112,5,1
SOL0109,2026-05-02 03:01:00,Farm_A,120,85.27,26.7,6.9,10.298309178743962,3,5
SOL0110,2026-03-15 08:07:00,Farm_C,120,69.06,31.5,5.7,10.096491228070176,8,3
SOL0111,2026-04-11 09:40:00,Farm_B,120,99.39,26.4,9.5,8.71842105263158,9,4
SOL0112,2026-01-04 14:47:00,Farm_A,120,77.22,30.8,6.8,9.463235294117647,14,1
SOL0113,2026-04-02 03:24:00,Farm_C,150,107.16,29.8,7.6,9.4,3,4
SOL0114,2026-05-09 04:11:00,Farm_A,120,120.0,31.0,9.6,10.416666666666668,4,5
SOL0115,2026-07-14 08:45:00,Farm_C,180,114.56,26.4,7.3,8.718417047184172,8,7
SOL0116,2026-07-06 12:09:00,Farm_A,180,65.53,33.1,3.8,9.580409356725147,12,7
SOL0117,2026-06-17 22:25:00,Farm_B,150,116.83,40.5,8.1,9.615637860082305,22,6
SOL0118,2026-02-15 22:25:00,Farm_C,180,110.28,31.5,6.5,9.425641025641026,22,2
SOL0119,2026-02-10 11:39:00,Farm_D,150,91.47,33.3,6.9,8.83768115942029,11,2
SOL0120,2026-05-02 11:36:00,Farm_C,100,68.89,30.4,7.9,8.720253164556963,11,5
